Sample_ID,Sample_Name,Fastq.Read.1.File,Fastq.Read.2.File,ML,TRT,Combos,Comment
114,875AH,S114,875AH_S114_L001_R1_001.fastq,875AH_S114_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.18 Ip-PA 4.15 Ihed,
115,901H,S115,901H_S115_L001_R1_001.fastq,901H_S115_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.16 Ip-PA 4.12 Ihed,
116,959H,S116,959H_S116_L001_R1_001.fastq,959H_S116_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.15 Ip-PA 4.12 Ihed,
117,959P,S117,959P_S117_L001_R1_001.fastq,959P_S117_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.12 Ihed,
118,951P,S118,951P_S118_L001_R1_001.fastq,951P_S118_L001_R2_001.fastq,PA4.2Ip,Alone,NA,
119,907P,S119,907P_S119_L001_R1_001.fastq,907P_S119_L001_R2_001.fastq,PA4.18Ip,Alone,NA,
120,930P,S120,930P_S120_L001_R1_001.fastq,930P_S120_L001_R2_001.fastq,PA4.15Ip,Alone,NA,
121,841H,S121,841H_S121_L001_R1_001.fastq,841H_S121_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.2 Ip-PA 4.3 Ihed,
122,910P,S122,910P_S122_L001_R1_001.fastq,910P_S122_L001_R2_001.fastq,PA4.14Ip,Alone,NA,
123,360P,S123,360P_S123_L001_R1_001.fastq,360P_S123_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.3 Ihed,
124,777AH,S124,777AH_S124_L001_R1_001.fastq,777AH_S124_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.16 Ip-PA 4.2 Ihed,
125,769AH,S125,769AH_S125_L001_R1_001.fastq,769AH_S125_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.13 Ip-PA 4.2 Ihed,
126,591H,S126,591H_S126_L001_R1_001.fastq,591H_S126_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.2 Ip-PA 4.12 Ihed,
