"ML","Species","Trt","Block","Combos","Position","trans.SKL_NODES","trans.DIA_STM","trans.DIA_STM_SIMPLE","trans.AREA","trans.AVG_DENSITY","trans.TD_AVG","trans.WIDTH_MAX","trans.D10","trans.D20","trans.D30","trans.D40","trans.D50","trans.D60","trans.D70","trans.D80","trans.D90","trans.RDISTR_X","trans.RDISTR_Y","trans.SKL_DEPTH","trans.SKL_WIDTH","trans.RTP_COUNT","trans.STA_RANGE","trans.STA_MAX","trans.RTA_RANGE","trans.RTA_MAX","trans.ADVT_COUNT","trans.BASAL_COUNT","trans.ADVT_ANG","trans.BASAL_ANG","trans.HYP_DIA","trans.TAP_DIA","trans.MAX_DIA_90","trans.DROP_50","PC1","PC2","PC3","PC4","Sample_ID"
"PA4.16Ip","Ip","Inter","1","PA 4.16 Ip-PA 4.2 Ihed","103A",0.873176539613743,-0.41951020847247,0.0500646281999653,-0.510948250560733,-0.891048100883673,-0.7070168822005,-0.753909828124323,-0.302413283254973,-0.431979268754362,-0.453850117036194,-0.516132486040167,-0.566786713311362,-0.637932681166547,-0.706473219498215,-0.779549552647611,-0.874961186258452,-0.0220886124503225,0.258983544409183,0.106693924115219,-0.666733112706559,2.26194023279096,0.797292842494461,0.652106843303018,1.11358554998919,0.651518872032927,2.62871203411075,1.36750606350133,0.247158982263936,0.616101865166031,-0.499033638548156,-0.875217606436584,-0.680135612988437,0.105457378089582,-2.0607779050428,-0.469968680448477,4.2008707912869,-0.775494798758709,"103AP"
"PA4.3Ihed","Ihed","Inter","1","PA 4.14 Ip-PA 4.3 Ihed","104",-0.385684550963197,0.790794130768801,-0.494630023294091,0.377929289554549,0.455229873800407,-0.439812408650915,1.35351608481465,-0.289378176642699,-0.321399503057658,-0.318510414215524,-0.371058290041067,-0.512705240418892,-0.692305712156167,-0.900932928749007,-1.06919656648658,-1.25553176441879,-0.871079192581796,0.588674115974613,-0.449736711286971,1.29364284692963,0.604060338636746,0.403919778603453,0.606185450920265,0.379906541356096,-1.22870521198235,-0.143876705022159,0.581129234441178,-1.71334929464418,-1.00229400100504,-0.107553090028301,-0.57553400057764,-0.465012352827537,-0.450742762054982,-1.17021257447144,-3.53109181541473,-0.412115278423392,-1.05231537914126,"104H"
"PA4.14Ip","Ip","Inter","1","PA 4.14 Ip-PA 4.3 Ihed","104",0.639664629878257,0.409775982648649,-0.472642392993755,0.787986419718931,-0.378269242775158,-0.491996372192178,0.704583219594948,-0.28594040107326,-0.438188854155384,-0.412257796293486,-0.453018545322415,-0.47218288535906,-0.457278794089646,-0.453673625382981,-0.46156398606471,-0.450366012662551,-0.741522861334466,0.542469962547722,-0.430767575699785,0.921767690100129,2.0047683346032,0.0823225251353102,0.613241431646717,0.187917695008555,-1.16106094548977,1.24241766454429,1.66939529413779,-0.872277397090179,-1.46033635172074,-0.224159447455011,-0.513309049730463,-0.137679651517218,-0.43179286629381,-0.66634937198018,-3.21519391468254,1.29304637004254,-2.15339419269024,"104P"
"PA4.13Ip","Ip","Inter","1","PA 4.13 Ip-PA 4.12 Ihed","105",0.0464210390535513,-0.734592914978173,-0.263246872321255,-0.870413507915506,0.110786837801314,-0.706646952805634,-0.8485219423803,0.215988532801006,-0.00396428254193625,-0.0866647585161354,-0.192157656849966,-0.229256278879717,-0.263298090006709,-0.309193363901448,-0.396197233492624,-0.550144919447921,0.0938727871052782,0.441028521167384,-0.243002783792272,-0.558323902372941,1.38389273327341,0.708631868534243,0.579290020919429,1.05118626844049,0.59526989391434,1.83654382292992,1.36750606350133,0.977971940357164,1.04303312185864,-0.580020673029519,-0.928782462973461,-0.665305041722445,-0.243780278774559,-1.79304104547207,0.325698084493228,3.21068095656019,0.220189855160055,"105P"
"PA4.3Ihed","Ihed","Inter","1","PA 4.15 Ip-PA 4.3 Ihed","108",-1.9076019566344,0.808688197857985,-0.828290622904662,-0.228228827060157,-0.0137988984310836,-0.444438535849326,0.542146370549193,-1.88034908085449,-1.84470287002809,-1.28942016641821,-1.20977950297322,-0.418873028370298,-0.372904519010608,-0.516567341413267,-0.733789358018308,-0.990549059922457,-1.7140181937726,0.713079876412034,-0.836165932833325,0.900720720702309,-1.51216817983665,-0.130172166031972,0.414204593681867,1.01296535091323,0.551322966038089,0.0541653477730484,-0.374865339183041,-0.62108240559837,-1.07258829531467,-0.391552363026124,-0.780519976249581,-0.339048399316117,-0.836554231038125,-3.20730440017521,-1.96997293892607,-1.26431067404466,0.662194156874301,"108H"
"PA4.18Ip","Ip","Alone","1","none","11",0.0231233100480175,-0.541100329771001,-0.0283967984362156,-0.627357618441313,-0.289089786792308,-0.56611905162977,-0.953130888188598,-0.832907080385807,-1.20891365326207,-0.963819587300531,-0.923552620286398,-0.962319820221006,-0.99887698156122,-1.00926251120896,-0.997574540699312,-0.903834433291693,0.219981489042175,0.335331898846095,0.0225735475577255,-0.829219375214808,0.73716211493806,-0.0631324136474699,-0.00980784889478941,1.1252584985628,0.617370882919198,-0.341918757817367,1.57072890843317,0.702805735847164,0.653579503725999,-0.52115618571502,-0.563560253050125,-0.580076046028912,0.0214338184111018,-3.19433385344076,0.391177487985824,2.18180796401263,-1.021486408238,"11P"
"PA4.13Ip","Ip","Alone","1","none","115",-0.322004155296663,-0.219604034531167,-0.176678294750181,-1.0213741782976,-1.24021112877065,-0.653737111288869,-0.594737594815729,-0.0441875005492283,-0.126853480435301,-0.137043406088703,-0.207911173165373,-0.266059026068686,-0.357905406540225,-0.471635000062372,-0.595423249227657,-0.775874376508593,0.10814170197308,0.443701255183974,-0.140368567395312,-0.643854995201259,0.634172914881252,0.492097287996786,0.355485391130107,-2.57369587818619,0.568093121391945,-0.738002863407782,1.15568853564984,1.22172016906873,1.03032773021725,-0.674787381813466,-0.917988522367531,-0.451727264341832,-0.141297103316966,-2.28254649880539,1.48314882025601,0.929952807771343,-0.641407586981253,"115P"
"PA4.15Ihed","Ihed","Inter","1","PA 4.19 Ip-PA 4.15 Ihed","115A",-0.248166617725912,-0.625345022673588,-0.170771269710783,-0.82615060588409,-1.2374400719423,-0.567808859795375,-0.883590692570008,0.31772237873738,-0.0651023408426683,0.00038906803534068,-0.0374364338309385,-0.034293823184222,-0.0554420888108904,-0.126923482565128,-0.221763443484533,-0.328768004108851,0.04924780284651,0.34427554976681,-0.140368567395312,-0.701886514639212,0.383897816314576,0.461411750108614,0.302956809918017,0.965359082781048,0.581804568121575,1.24241766454429,-0.223853373691436,0.594264749687355,0.64335315171002,-0.702901858820952,-0.816442131879406,-0.451727264341832,-0.140636282008405,-1.75653152204556,0.598045617960189,1.7714339216946,1.08590391781473,"115AH"
"PA4.19Ip","Ip","Inter","1","PA 4.19 Ip-PA 4.15 Ihed","115A",0.0616587005367916,-0.676064613313764,-0.113579555250361,-0.616736301759469,-0.905870432286101,-0.509310295688046,-0.971519605431286,-0.288629204200981,-0.458502265897641,-0.363078740870277,-0.315307460036269,-0.303910697654255,-0.294835173970792,-0.257212034478884,-0.21191362195293,-0.303755865112571,0.214932025650314,0.312539482505497,-0.0736803985861586,-0.994686432865682,0.722671474138076,0.298502013987238,0.157686154606832,1.12785193018517,0.667564596158239,1.4404597173395,-0.374865339183041,1.26134192633256,0.971922048005452,-0.541537549959248,-0.762212272787119,-0.665305041722445,-0.0746993750597907,-2.16931905529931,1.00885832541772,2.22148773273559,0.803596067598866,"115AP"
"PA4.9Ihed","Ihed","Inter","1","PA 4.17 Ip-PA 4.9 Ihed","116",0.322632308413355,-0.581109263129555,0.0500646281999653,-0.780625543266401,-0.964047034683742,-0.710692455612908,-0.795213151002558,0.470672750503991,0.201496277269311,0.150983338965012,0.142836971154075,0.121641016707511,0.0703938741494246,0.0124498786226678,-0.0313783353098963,-0.121734295477894,0.0679995963859609,0.169912034120607,0.106177813577675,-0.675577911674057,1.05210170901367,0.588135894895756,0.485704025767859,0.610829662207595,0.660642217344138,1.04437561174909,0.197793075393751,0.940548224363919,1.1045457869878,-0.544020589641041,-1.08934365549565,-0.875699322182863,0.105457378089582,-1.14344931265234,0.925434991316121,2.48314029575538,0.774553348249117,"116H"
"PA4.17Ip","Ip","Inter","1","PA 4.17 Ip-PA 4.9 Ihed","116",-0.861461153685541,-0.520232268366435,-0.0283967984362156,-0.975007049913197,-0.212273481556155,-0.507275137882761,-0.879121311062136,-0.64577425225956,-0.728430944916855,-0.90880842742041,-1.09321144481124,-1.26499718051437,-1.28650865476072,-1.36354566172523,-1.49895546720443,-1.04123372213917,0.144353186099239,0.428625622431365,0.0214495935186879,-1.00921674506979,-0.658304335997351,-3.81303953710712,-3.97089769472965,-2.18562342049522,0.663015391118203,-0.143876705022159,-0.223853373691436,0.84293873351389,1.26172188823833,-0.484905761192155,-0.773812255529379,-0.400240042415917,0.0208726737007933,-4.08815929562287,4.16290568890503,-2.3822923254491,-3.61175207753813,"116P"
"PA4.19Ip","Ip","Alone","1","none","117",-0.714280573617331,-0.782261130659869,-0.43180734112021,-1.09830830920488,0.109279834532095,-0.681102126666099,-1.26479238607434,-0.398727517369529,-0.371187160833329,-0.173298730271692,-0.241226442570132,-0.233284552711156,-0.266208887433903,-0.302967884729197,-0.402093661760453,-0.574215993536114,0.108059532895859,0.503111304967728,-0.431171888703729,-1.33412310634918,-0.781719692752796,0.793907540223448,0.646226840466279,0.429926814155781,0.51826571956516,0.252207400568256,-0.0784041166666345,0.408457142535109,0.810733622353066,-0.570926264559115,-0.696825687954408,-0.749735077398253,-0.431635588592114,-2.69747745784917,0.80922652120223,0.859132538058098,1.79891677006153,"117P"
"PA4.15Ihed","Ihed","Inter","1","PA 4.18 Ip-PA 4.15 Ihed","117A",-0.519979407447915,-1.059075187793,-0.119149075855629,-1.08345330918826,-1.02213266520042,-0.669442185452917,-1.14236249190763,-0.0500584583123614,-0.352478699618894,-0.403161591805072,-0.444657779512575,-0.467136334889433,-0.485456106916583,-0.524258765440396,-0.593577465320091,-0.724004731113356,0.238702150917158,0.407187234337057,-0.0798999771524315,-1.03277114790926,-0.155890507703721,0.699573843081211,0.548126138000514,-0.311145233203331,0.687013887665121,-0.738002863407782,0.329364922817422,0.935659549307391,0.989098319563757,-0.669164171905834,-0.973236792889871,-0.63796858432629,-0.0802889723836192,-2.9514044115843,1.21450329221999,1.1990497762235,0.834119699954162,"117AH"
"PA4.18Ip","Ip","Inter","1","PA 4.18 Ip-PA 4.15 Ihed","117A",0.223247721484093,0.319203559862233,-0.575660038125954,0.547607271665944,-0.56332877842732,-0.463626825606117,0.602387191201271,0.0382170412636592,-0.247149901231833,-0.205142767400369,-0.219839306529548,-0.176380017029811,-0.180237613606686,-0.216372048653871,-0.233736287269468,-0.249622492144778,0.388958145758451,0.570275815647193,-0.544310940794839,0.756187679132504,1.09082030032345,-0.430559217831482,0.618355347526027,0.487622200716048,-0.869672865174523,0.450249453363463,0.457046157135068,-1.31614664176467,-1.40142021871215,-0.265817658772368,-0.534015488929785,-0.400712256752844,-0.544500533273934,-0.674008241359966,-2.6761560246267,0.0867454137419556,-1.10982663891045,"117AP"
