"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu00651","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","1959-1"
"Otu00657","Bacteria","Firmicutes","Bacilli","Bacillales","Family_XII","Exiguobacterium"
"Otu00667","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"Otu00688","Bacteria","Planctomycetes","BD7-11","BD7-11_or","BD7-11_fa","BD7-11_ge"
"Otu00693","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Paraclostridium"
"Otu00705","Bacteria","Elusimicrobia","Lineage_IIa","Lineage_IIa_or","Lineage_IIa_fa","Lineage_IIa_ge"
"Otu00706","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium"
"Otu00709","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"Otu00715","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Angustibacter"
"Otu00717","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetales_unclassified","Planctomycetales_unclassified"
"Otu00730","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Williamsia"
"Otu00734","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nostoc_PCC-73102"
"Otu00742","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Cystobacter"
"Otu00744","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonosporaceae_ge"
"Otu00745","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified"
"Otu00749","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacterales_unclassified","Chthoniobacterales_unclassified"
