"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu06321","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_unclassified","Saccharimonadales_unclassified"
"Otu06323","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu06326","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter"
"Otu06332","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylophilaceae_unclassified"
"Otu06349","Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria_fa","Candidatus_Uhrbacteria_ge"
"Otu06379","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella"
"Otu06414","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Rhizomicrobium"
"Otu06477","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Candidatus_Nostocoida"
"Otu06479","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Ferrovibrio"
"Otu06499","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Diplorickettsiaceae_unclassified"
"Otu06604","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus"
"Otu06612","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Emticicia"
"Otu06630","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","27F-1492R","27F-1492R_ge"
"Otu06633","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionales_unclassified","Micavibrionales_unclassified"
"Otu06668","Bacteria","Cyanobacteria","Melainabacteria","Melainabacteria_unclassified","Melainabacteria_unclassified","Melainabacteria_unclassified"
"Otu06766","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A_clade","KI89A_clade_fa","KI89A_clade_ge"
"Otu06767","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Sporocytophaga"
"Otu06825","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Noviherbaspirillum"
"Otu06857","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","Thermomicrobiaceae","Nitrolancea"
"Otu06860","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Oceanobacillus"
"Otu06869","Bacteria","Actinobacteria","0319-7L14","0319-7L14_or","0319-7L14_fa","0319-7L14_ge"
"Otu06970","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium_5"
"Otu07021","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Rhodopirellula"
"Otu07155","Bacteria","Planctomycetes","Pla3_lineage","Pla3_lineage_or","Pla3_lineage_fa","Pla3_lineage_ge"
"Otu07177","Bacteria","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae","Salipaludibacillus"
"Otu07207","Bacteria","Chloroflexi","P2-11E","P2-11E_or","P2-11E_fa","P2-11E_ge"
"Otu07211","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Gracilibacteraceae_unclassified"
"Otu07226","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","Thermomicrobiales_unclassified","Thermomicrobiales_unclassified"
"Otu07277","Bacteria","Patescibacteria","ABY1","ABY1_unclassified","ABY1_unclassified","ABY1_unclassified"
"Otu07279","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","uncultured"
"Otu07289","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Lacibacter"
"Otu07359","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nostoc_PCC-7524"
"Otu07365","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Fonticella"
"Otu07372","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Candidatus_Soleaferrea"
"Otu07384","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales","Rhodovibrionales_unclassified","Rhodovibrionales_unclassified"
"Otu07385","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified"
"Otu07461","Bacteria","Proteobacteria","Deltaproteobacteria","PB19","PB19_fa","PB19_ge"
"Otu07564","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","uncultured"
"Otu07613","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriales_unclassified","Corynebacteriales_unclassified"
"Otu07644","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Sporomusa"
"Otu07680","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","Hydrogenedensaceae_ge"
"Otu07708","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nostocaceae_unclassified"
"Otu07729","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Solitalea"
"Otu07739","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7_clade"
"Otu07777","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu07841","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu07842","Bacteria","Acidobacteria","Acidobacteriia","Subgroup_12","Subgroup_12_fa","Subgroup_12_ge"
"Otu07887","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","uncultured"
"Otu07951","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified"
"Otu07996","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobia_unclassified","Elusimicrobia_unclassified","Elusimicrobia_unclassified"
"Otu08011","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3"
"Otu08028","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Finniella"
"Otu08070","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum"
"Otu08079","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocella"
"Otu08082","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Minicystis"
"Otu08149","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliaceae","Babeliaceae_ge"
"Otu08200","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu08233","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Gracilibacter"
"Otu08244","Bacteria","Actinobacteria","Acidimicrobiia","Actinomarinales","uncultured","uncultured_ge"
"Otu08251","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aliihoeflea"
"Otu08256","Bacteria","Firmicutes","Clostridia","Clostridiales","Heliobacteriaceae","Hydrogenispora"
"Otu08265","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Archangiaceae_unclassified"
"Otu08328","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinocatenispora"
"Otu08331","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Jeotgalibacillus"
"Otu08377","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Bogoriellaceae","Georgenia"
"Otu08442","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Schlesneriaceae","Planctopirus"
"Otu08485","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Saccharimonadaceae_ge"
"Otu08503","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Intrasporangiaceae_unclassified"
"Otu08525","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadales_unclassified","Desulfuromonadales_unclassified"
"Otu08623","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae","Parvibaculum"
"Otu08626","Bacteria","Dependentiae","Babeliae","Babeliales","UBA12411","UBA12411_ge"
"Otu08660","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu08673","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","uncultured"
"Otu08789","Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria_unclassified","Gracilibacteria_unclassified","Gracilibacteria_unclassified"
"Otu08808","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae","Methyloligellaceae_ge"
"Otu08833","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","uncultured"
"Otu08893","Bacteria","Dependentiae","Babeliae","Babeliales","UBA12409","UBA12409_ge"
"Otu08911","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovoracaceae_unclassified"
"Otu08923","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Sanguibacteraceae","Sanguibacter"
"Otu09058","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Yanofskybacteria","Candidatus_Yanofskybacteria_fa","Candidatus_Yanofskybacteria_ge"
"Otu09114","Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria","Candidatus_Woesebacteria_fa","Candidatus_Woesebacteria_ge"
"Otu09125","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)_fa","Absconditabacteriales_(SR1)_ge"
"Otu09144","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcaceae_unclassified"
"Otu09172","Bacteria","Patescibacteria","ABY1","Candidatus_Komeilibacteria","Candidatus_Komeilibacteria_fa","Candidatus_Komeilibacteria_ge"
"Otu09183","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella"
"Otu09258","Bacteria","Acidobacteria","Subgroup_19","Subgroup_19_or","Subgroup_19_fa","Subgroup_19_ge"
"Otu09264","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis"
"Otu09268","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified","Rickettsiales_unclassified"
"Otu09275","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Fibrella"
"Otu09298","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","uncultured"
"Otu09317","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Alkalibacter"
"Otu09318","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Anaerobacter"
"Otu09332","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Thermoactinomycetaceae_unclassified"
"Otu09354","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","Ardenticatenaceae","uncultured"
"Otu09360","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurellaceae_unclassified"
"Otu09374","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","G12-WMSP1"
"Otu09426","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Nibrella"
"Otu09429","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaera"
"Otu09458","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus"
"Otu09467","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum"
"Otu09478","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella"
"Otu09500","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Niabella"
"Otu09516","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxellaceae_unclassified"
"Otu09552","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillales_unclassified","Azospirillales_unclassified"
"Otu09700","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Mumia"
"Otu09713","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Alterococcus"
"Otu09803","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacteriaceae_unclassified"
"Otu09815","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora"
"Otu09869","Bacteria","Actinobacteria","Actinobacteria","PeM15","PeM15_fa","PeM15_ge"
"Otu09918","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","uncultured"
"Otu09925","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Paeniclostridium"
"Otu09943","Bacteria","Firmicutes","Bacilli","Bacillales","Pasteuriaceae","Pasteuria"
"Otu09989","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinosynnema"
"Otu09996","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium"
"Otu10071","Bacteria","Proteobacteria","Gammaproteobacteria","EV818SWSAP88","EV818SWSAP88_fa","EV818SWSAP88_ge"
"Otu10114","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges"
"Otu10118","Bacteria","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae","Pullulanibacillus"
"Otu10264","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliales_fa","Babeliales_ge"
"Otu10270","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Nitrobacter"
"Otu10272","Bacteria","Bacteroidetes","Bacteroidia","SM1A07","SM1A07_fa","SM1A07_ge"
"Otu10277","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Simkaniaceae","Simkania"
"Otu10288","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Marininema"
"Otu10521","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionellaceae_unclassified"
"Otu10562","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Ancylobacter"
"Otu10591","Bacteria","Planctomycetes","Phycisphaerae","CCM11a","CCM11a_fa","CCM11a_ge"
"Otu10725","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadales_unclassified","Fimbriimonadales_unclassified"
"Otu10738","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Thermobacillus"
"Otu10745","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","FS142-36B-02"
"Otu10755","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"Otu10774","Bacteria","Patescibacteria","Microgenomatia","Candidatus_Roizmanbacteria","Candidatus_Roizmanbacteria_fa","Candidatus_Roizmanbacteria_ge"
"Otu10794","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcales_unclassified","Micrococcales_unclassified"
"Otu10861","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridioides"
"Otu10877","Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41","WCHB1-41_fa","WCHB1-41_ge"
"Otu10981","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Sneathiellaceae_unclassified"
"Otu11079","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","uncultured"
"Otu11133","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","uncultured"
"Otu11177","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae","Thioalkalispira"
"Otu11179","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Azambacteria","Candidatus_Azambacteria_fa","Candidatus_Azambacteria_ge"
"Otu11219","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Candidatus_Kaiserbacteria_fa","Candidatus_Kaiserbacteria_ge"
"Otu11235","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","YB-42"
"Otu11240","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonadaceae_unclassified"
"Otu11261","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Polymorphobacter"
"Otu11297","Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria_or","Gracilibacteria_fa","Gracilibacteria_ge"
"Otu11322","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Frankia"
"Otu11340","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Odyssella"
"Otu11346","Bacteria","Firmicutes","Bacilli","Bacillales","uncultured","uncultured_ge"
"Otu11400","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Peptococcaceae_unclassified"
"Otu11461","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Midichloriaceae","Midichloriaceae_unclassified"
"Otu11545","Bacteria","Verrucomicrobia","Verrucomicrobiae","Methylacidiphilales","Methylacidiphilaceae","Methylacidiphilaceae_unclassified"
"Otu11562","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","Rubinisphaeraceae_unclassified"
"Otu11575","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","uncultured"
"Otu11780","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Telmatospirillum"
"Otu11847","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"Otu11898","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Patulibacter"
"Otu11981","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Thermoactinomyces"
"Otu12007","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonosporaceae_unclassified"
"Otu12033","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax"
"Otu12035","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Xenophilus"
"Otu12100","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum"
"Otu12149","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Adlerbacteria","Candidatus_Adlerbacteria_fa","Candidatus_Adlerbacteria_ge"
"Otu12161","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Lutispora"
"Otu12237","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","Chthonobacter"
"Otu12256","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Cryptosporangiaceae","Fodinicola"
"Otu12276","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","uncultured"
"Otu12308","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","Phormidiaceae_unclassified"
"Otu12355","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola"
"Otu12435","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"Otu12456","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacterales_unclassified","Ktedonobacterales_unclassified"
"Otu12488","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Chelatococcus"
"Otu12597","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria"
"Otu12642","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfitobacterium"
"Otu12644","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Procabacteriaceae","Procabacter"
"Otu12881","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella_3"
"Otu12913","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Captivus"
"Otu12925","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Tissierella"
"Otu12949","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Planifilum"
"Otu13009","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","UTCFX1"
"Otu13080","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","B1-7BS","B1-7BS_ge"
"Otu13081","Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peribacteria","Candidatus_Peribacteria_fa","Candidatus_Peribacteria_ge"
"Otu13220","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XVIII","Symbiobacterium"
"Otu13301","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Midichloriaceae","Candidatus_Jidaibacter"
"Otu13355","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Nomurabacteria","Candidatus_Nomurabacteria_fa","Candidatus_Nomurabacteria_ge"
"Otu13433","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Catelliglobosispora"
"Otu13473","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","Micavibrio"
"Otu13518","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_fa","Rhizobiales_ge"
"Otu13675","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Candidimonas"
"Otu13697","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus"
"Otu13892","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Anaerovorax"
"Otu13914","Bacteria","Proteobacteria","Gammaproteobacteria","CHAB-XI-27","CHAB-XI-27_fa","CHAB-XI-27_ge"
"Otu13918","Bacteria","GAL15","GAL15_cl","GAL15_or","GAL15_fa","GAL15_ge"
"Otu13972","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Puniceicoccaceae_unclassified"
"Otu14106","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Rhodoblastus"
"Otu14201","Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae","Entotheonellaceae_unclassified"
"Otu14230","Bacteria","Proteobacteria","Alphaproteobacteria","Caedibacterales","Caedibacteraceae","Caedibacter"
"Otu14260","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Rickettsiella"
"Otu14433","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Rubinisphaeraceae","Planctomicrobium"
"Otu14449","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pseudoduganella"
"Otu14479","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"Otu14517","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Parachlamydia"
"Otu14532","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","D05-2","D05-2_ge"
"Otu14577","Bacteria","Halanaerobiaeota","Halanaerobiia","Halanaerobiales","Halanaerobiaceae","Halocella"
"Otu14586","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"Otu14634","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","uncultured"
"Otu14642","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacteraceae_unclassified"
"Otu14644","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus"
"Otu14790","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinaceae_ge"
"Otu14828","Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woykebacteria","Candidatus_Woykebacteria_fa","Candidatus_Woykebacteria_ge"
"Otu14857","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Cyanobacteriaceae","Cyanobacteriaceae_ge"
"Otu14864","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas"
"Otu14916","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Quadrisphaera"
"Otu14919","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Longispora"
"Otu14951","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Diplorickettsia"
"Otu15334","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acetivibrio"
"Otu15407","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","LD29"
"Otu15501","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Lechevalieria"
"Otu15638","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7"
"Otu15701","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"Otu15731","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_1"
"Otu15739","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-010"
"Otu15832","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Holophagaceae_unclassified"
"Otu15999","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Giovannonibacteria","Candidatus_Giovannonibacteria_fa","Candidatus_Giovannonibacteria_ge"
"Otu16000","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"Otu16002","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae","Thioalkalispiraceae_unclassified"
"Otu16053","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadales_fa","Fimbriimonadales_ge"
"Otu16064","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Chiayiivirga"
"Otu16158","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","PMMR1"
"Otu16186","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Risungbinella"
"Otu16505","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12"
"Otu16649","Bacteria","Proteobacteria","Gammaproteobacteria","EC3","EC3_fa","EC3_ge"
"Otu16659","Bacteria","Patescibacteria","Microgenomatia","Microgenomatia_unclassified","Microgenomatia_unclassified","Microgenomatia_unclassified"
"Otu16726","Bacteria","Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
