"Block","Order","Position","ML","Trt","Comp","Combos","Population","Species","Block.1","Leaf.Number","Comment","X","UniqId","GerminationDate","Comment1","Dead_plant","DeathCause","RootsHarvested","SeedsCounted","SeedNumber"
"1",213,"213","PA4.16Ip","Alone","NA","NA","PA4","Ip",1,8,"",57,"213Ip","43258.0",NA,NA,NA,"N","Y",172
"1",219,"219","PA4.11Ip","Inter","PA 4.12 Ihed","PA 4.11 Ip-PA 4.12 Ihed","PA4","Ip",1,4,"",58,"219Ip","43262.0",NA,NA,NA,"N","Y",151
"1",22,"22","PA4.17Ip","Inter","PA 4.12 Ihed","PA 4.17 Ip-PA 4.12 Ihed","PA4","Ip",1,12,"",59,"22Ip","43258.0",NA,NA,NA,"N","Y",111
"1",223,"223","PA4.1Ip","Inter","PA 4.9 Ihed","PA 4.1 Ip-PA 4.9 Ihed","PA4","Ip",1,6,"",60,"223Ip","43258.0",NA,NA,NA,"N","Y",658
"1",224,"224","PA4.19Ip","Inter","PA 4.3 Ihed","PA 4.19 Ip-PA 4.3 Ihed","PA4","Ip",1,6,"",61,"224Ip","43262.0",NA,NA,NA,"N","Y",252
"1",226,"226","PA4.15Ip","Inter","PA 4.9 Ihed","PA 4.15 Ip-PA 4.9 Ihed","PA4","Ip",1,9,"",62,"226Ip","43258.0",NA,NA,NA,"Y","Y",168
"1",228,"228","PA4.13Ip","Alone","NA","NA","PA4","Ip",1,6,"",63,"228Ip","43262.0",NA,NA,NA,"N","Y",159
"1",234,"234","PA4.16Ip","Alone","NA","NA","PA4","Ip",1,5,"",64,"234Ip","43262.0",NA,NA,NA,"Y","Y",89
"1",241,"241","PA4.15Ip","Inter","PA 4.7 Ihed","PA 4.15 Ip-PA 4.7 Ihed","PA4","Ip",1,9,"",65,"241Ip","43258.0",NA,NA,NA,"N","Y",198
"1",244,"244","PA4.2Ip","Inter","PA 4.7 Ihed","PA 4.2 Ip-PA 4.7 Ihed","PA4","Ip",1,8,"",66,"244Ip","43258.0",NA,NA,NA,"N","Y",208
"1",245,"245","PA4.19Ip","Inter","PA 4.12 Ihed","PA 4.19 Ip-PA 4.12 Ihed","PA4","Ip",1,5,"",67,"245Ip","43258.0",NA,NA,NA,"N","Y",138
"1",246,"246","PA4.18Ip","Inter","PA 4.7 Ihed","PA 4.18 Ip-PA 4.7 Ihed","PA4","Ip",1,6,"",68,"246Ip","43258.0",NA,NA,NA,"N","Y",131
"1",30,"30","PA4.19Ip","Alone","NA","NA","PA4","Ip",1,8,"",86,"30Ip","43264.0",NA,NA,NA,"N","Y",114
"1",33,"33A","PA4.13Ip","Inter","PA 4.2 Ihed","PA 4.13 Ip-PA 4.2 Ihed","PA4","Ip",1,8,"",103,"33AIp","43262.0",NA,NA,NA,"N","Y",47
"1",35,"35A","PA4.2Ip","Inter","PA 4.15 Ihed","PA 4.2 Ip-PA 4.15 Ihed","PA4","Ip",1,8,"",117,"35AIp","43262.0",NA,NA,NA,"N","Y",158
"1",36,"36","PA4.1Ip","Inter","PA 4.7 Ihed","PA 4.1 Ip-PA 4.7 Ihed","PA4","Ip",1,6,"",118,"36Ip","43258.0",NA,NA,NA,"N","Y",73
"1",38,"38","PA4.18Ip","Inter","PA 4.12 Ihed","PA 4.18 Ip-PA 4.12 Ihed","PA4","Ip",1,8,"",128,"38Ip","43258.0",NA,NA,NA,"N","Y",252
"1",39,"39","PA4.11Ip","Inter","PA 4.3 Ihed","PA 4.11 Ip-PA 4.3 Ihed","PA4","Ip",1,9,"",135,"39Ip","43262.0",NA,NA,NA,"N","Y",141
"1",41,"41","PA4.17Ip","Inter","PA 4.7 Ihed","PA 4.17 Ip-PA 4.7 Ihed","PA4","Ip",1,7,"",146,"41Ip","43262.0",NA,NA,NA,"N","Y",104
"1",44,"44","PA4.14Ip","Alone","NA","NA","PA4","Ip",1,9,"",163,"44Ip","43262.0",NA,NA,NA,"N","Y",241
"1",45,"45A","PA4.2Ip","Inter","PA 4.15 Ihed","PA 4.2 Ip-PA 4.15 Ihed","PA4","Ip",1,13,"",175,"45AIp","43262.0",NA,NA,NA,"N","Y",94
"1",46,"46","PA4.13Ip","Inter","PA 4.9 Ihed","PA 4.13 Ip-PA 4.9 Ihed","PA4","Ip",1,7,"",176,"46Ip","43262.0",NA,NA,NA,"N","Y",299
"1",47,"47A","PA4.14Ip","Inter","PA 4.2 Ihed","PA 4.14 Ip-PA 4.2 Ihed","PA4","Ip",1,9,"",185,"47AIp","43262.0",NA,NA,NA,"N","Y",294
"1",5,"5A","PA4.11Ip","Inter","PA 4.15 Ihed","PA 4.11 Ip-PA 4.15 Ihed","PA4","Ip",1,9,"",220,"5AIp","43262.0",NA,NA,NA,"N","Y",53
"1",52,"52","PA4.17Ip","Inter","PA 4.9 Ihed","PA 4.17 Ip-PA 4.9 Ihed","PA4","Ip",1,10,"",194,"52Ip","43258.0",NA,NA,NA,"N","Y",208
"1",53,"53","PA4.16Ip","Alone","NA","NA","PA4","Ip",1,6,"",197,"53Ip","43258.0",NA,NA,NA,"N","Y",150
"1",58,"58","PA4.11Ip","Inter","PA 4.7 Ihed","PA 4.11 Ip-PA 4.7 Ihed","PA4","Ip",1,17,"",212,"58Ip","43262.0",NA,NA,NA,"N","Y",234
"1",61,"61A","PA4.1Ip","Inter","PA 4.15 Ihed","PA 4.1 Ip-PA 4.15 Ihed","PA4","Ip",1,14,"",232,"61AIp","43262.0",NA,NA,NA,"N","Y",274
"1",65,"65A","PA4.1Ip","Inter","PA 4.2 Ihed","PA 4.1 Ip-PA 4.2 Ihed","PA4","Ip",1,9,"",249,"65AIp","43262.0",NA,NA,NA,"N","Y",201
"1",69,"69A","PA4.2Ip","Inter","PA 4.2 Ihed","PA 4.2 Ip-PA 4.2 Ihed","PA4","Ip",1,10,"",279,"69AIp","43262.0",NA,NA,NA,"N","Y",294
"1",70,"70","PA4.15Ip","Alone","NA","NA","PA4","Ip",1,9,"",280,"70Ip","43258.0",NA,NA,NA,"Y","Y",259
"1",71,"71","PA4.14Ip","Alone","NA","NA","PA4","Ip",1,16,"",286,"71Ip","43258.0",NA,NA,NA,"Y","Y",96
