Sample_ID,Fastq.Read.1.File,Fastq.Read.2.File,ML,TRT,Combos,Block,Comment
547P,547P_S79_L001_R1_001.fastq,547P_S79_L001_R2_001.fastq,PA4.13Ip,Alone,none,3,
528P,528P_S80_L001_R1_001.fastq,528P_S80_L001_R2_001.fastq,PA4.19Ip,Alone,none,3,
542H,542H_S81_L001_R1_001.fastq,542H_S81_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.13 Ip-PA 4.3 Ihed,3,
525P,525P_S82_L001_R1_001.fastq,525P_S82_L001_R2_001.fastq,PA4.18Ip,Alone,none,3,
542P,542P_S83_L001_R1_001.fastq,542P_S83_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.3 Ihed,3,
557H,557H_S84_L001_R1_001.fastq,557H_S84_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.18 Ip-PA 4.3 Ihed,3,
296H,296H_S85_L001_R1_001.fastq,296H_S85_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.13 Ip-PA 4.12 Ihed,2,
149AP,149AP_S86_L001_R1_001.fastq,149AP_S86_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.2 Ihed,1,
89AH,89AH_S87_L001_R1_001.fastq,89AH_S87_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.14 Ip-PA 4.15 Ihed,1,
725AH,725AH_S88_L001_R1_001.fastq,725AH_S88_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.17 Ip-PA 4.15 Ihed,3,
671AH,671AH_S90_L001_R1_001.fastq,671AH_S90_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.16 Ip-PA 4.2 Ihed,3,
149AH,149AH_S91_L001_R1_001.fastq,149AH_S91_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.13 Ip-PA 4.2 Ihed,1,
657P,657P_S92_L001_R1_001.fastq,657P_S92_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.3 Ihed,3,
754BP,754BP_S93_L001_R1_001.fastq,754BP_S93_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.15 Ihed,3,
673AP,673AP_S94_L001_R1_001.fastq,673AP_S94_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.15 Ihed,3,
8P,8P_S97_L001_R1_001.fastq,8P_S97_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.3 Ihed,1,
442P,442P_S98_L001_R1_001.fastq,442P_S98_L001_R2_001.fastq,PA4.15Ip,Alone,none,2,
20H,20H_S99_L001_R1_001.fastq,20H_S99_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.17 Ip-PA 4.3 Ihed,1,
234P,234P_S100_L001_R1_001.fastq,234P_S100_L001_R2_001.fastq,PA4.16Ip,Alone,none,1,
232H,232H_S101_L001_R1_001.fastq,232H_S101_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.19 Ip-PA 4.3 Ihed,1,
212P,212P_S102_L001_R1_001.fastq,212P_S102_L001_R2_001.fastq,PA4.16Ip,Alone,none,1,
232P,232P_S103_L001_R1_001.fastq,232P_S103_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.3 Ihed,1,
25H,25H_S104_L001_R1_001.fastq,25H_S104_L001_R2_001.fastq,PA4.7Ihed,Inter,PA 4.1 Ip-PA 4.7 Ihed,1,
35P,35P_S105_L001_R1_001.fastq,35P_S105_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.3 Ihed,1,
93AH,93AH_S106_L001_R1_001.fastq,93AH_S106_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.11 Ip-PA 4.15 Ihed,1,
89AP,89AP_S107_L001_R1_001.fastq,89AP_S107_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.15 Ihed,1,
93AP,93AP_S108_L001_R1_001.fastq,93AP_S108_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.15 Ihed,1,
84P,84P_S109_L001_R1_001.fastq,84P_S109_L001_R2_001.fastq,PA4.11Ip,Alone,none,1,
86P,86P_S110_L001_R1_001.fastq,86P_S110_L001_R2_001.fastq,PA4.18Ip,Alone,none,1,
442AP,442AP_S111_L001_R1_001.fastq,442AP_S111_L001_R2_001.fastq,#N/A,#N/A,none,#N/A,Remove
914P,914P_S112_L001_R1_001.fastq,914P_S112_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.15 Ihed,4,
964P,964P_S113_L001_R1_001.fastq,964P_S113_L001_R2_001.fastq,PA4.19Ip,Alone,none,4,
875AH,875AH_S114_L001_R1_001.fastq,875AH_S114_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.18 Ip-PA 4.15 Ihed,4,
901H,901H_S115_L001_R1_001.fastq,901H_S115_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.16 Ip-PA 4.12 Ihed,4,
959H,959H_S116_L001_R1_001.fastq,959H_S116_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.15 Ip-PA 4.12 Ihed,4,
959P,959P_S117_L001_R1_001.fastq,959P_S117_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.12 Ihed,4,
951P,951P_S118_L001_R1_001.fastq,951P_S118_L001_R2_001.fastq,PA4.2Ip,Alone,none,4,
907P,907P_S119_L001_R1_001.fastq,907P_S119_L001_R2_001.fastq,PA4.18Ip,Alone,none,4,
930P,930P_S120_L001_R1_001.fastq,930P_S120_L001_R2_001.fastq,PA4.15Ip,Alone,none,4,
841H,841H_S121_L001_R1_001.fastq,841H_S121_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.2 Ip-PA 4.3 Ihed,4,
910P,910P_S122_L001_R1_001.fastq,910P_S122_L001_R2_001.fastq,PA4.14Ip,Alone,none,4,
360P,360P_S123_L001_R1_001.fastq,360P_S123_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.3 Ihed,2,
777AH,777AH_S124_L001_R1_001.fastq,777AH_S124_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.16 Ip-PA 4.2 Ihed,4,
769AH,769AH_S125_L001_R1_001.fastq,769AH_S125_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.13 Ip-PA 4.2 Ihed,4,
591H,591H_S126_L001_R1_001.fastq,591H_S126_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.2 Ip-PA 4.12 Ihed,3,
826H,826H_S127_L001_R1_001.fastq,826H_S127_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.17 Ip-PA 4.3 Ihed,4,
311H,311H_S128_L001_R1_001.fastq,311H_S128_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.2 Ip-PA 4.3 Ihed,2,
897P,897P_S129_L001_R1_001.fastq,897P_S129_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.12 Ihed,4,
921P,921P_S130_L001_R1_001.fastq,921P_S130_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,4,
158P,158P_S131_L001_R1_001.fastq,158P_S131_L001_R2_001.fastq,PA4.11Ip,Alone,none,1,
356P,356P_S133_L001_R1_001.fastq,356P_S133_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,2,
337AP,337AP_S134_L001_R1_001.fastq,337AP_S134_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.2 Ihed,2,
373AP,373AP_S135_L001_R1_001.fastq,373AP_S135_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.2 Ihed,2,
805P,805P_S136_L001_R1_001.fastq,805P_S136_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.15 Ihed,4,
345P,345P_S137_L001_R1_001.fastq,345P_S137_L001_R2_001.fastq,PA4.17Ip,Alone,none,2,
339AP,339AP_S138_L001_R1_001.fastq,339AP_S138_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.15 Ihed,2,
358P,358P_S141_L001_R1_001.fastq,358P_S141_L001_R2_001.fastq,PA4.16Ip,Alone,none,2,
311P,311P_S142_L001_R1_001.fastq,311P_S142_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.3 Ihed,2,
419P,419P_S143_L001_R1_001.fastq,419P_S143_L001_R2_001.fastq,PA4.13Ip,Alone,none,2,
557P,557P_S144_L001_R1_001.fastq,557P_S144_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.3 Ihed,3,
349H,349H_S145_L001_R1_001.fastq,349H_S145_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.19 Ip-PA 4.12 Ihed,2,
742H,742H_S146_L001_R1_001.fastq,742H_S146_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.19 Ip-PA 4.15 Ihed,3,
661H,661H_S147_L001_R1_001.fastq,661H_S147_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.2 Ip-PA 4.15 Ihed,3,
143AH,143AH_S149_L001_R1_001.fastq,143AH_S149_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.18 Ip-PA 4.2 Ihed,1,
375AP,375AP_S150_L001_R1_001.fastq,375AP_S150_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.15 Ihed,2,
291P,291P_S151_L001_R1_001.fastq,291P_S151_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.12 Ihed,2,
583P,583P_S152_L001_R1_001.fastq,583P_S152_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.12 Ihed,3,
141AH,141AH_S153_L001_R1_001.fastq,141AH_S153_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.18 Ip-PA 4.15 Ihed,1,
746P,746P_S154_L001_R1_001.fastq,746P_S154_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.12 Ihed,3,
420P,420P_S155_L001_R1_001.fastq,420P_S155_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.12 Ihed,2,
387H,387H_S156_L001_R1_001.fastq,387H_S156_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.17 Ip-PA 4.12 Ihed,2,
43H,43H_S157_L001_R1_001.fastq,43H_S157_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.16 Ip-PA 4.12 Ihed,1,
420H,420H_S158_L001_R1_001.fastq,420H_S158_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.13 Ip-PA 4.12 Ihed,2,
