Sample_ID,Sample_Name,Fastq Read 1 File,Fastq Read 2 File,ML,TRT,Combos,Comment
930P,S120,930P_S120_L001_R1_001.fastq,930P_S120_L001_R2_001.fastq,PA4.15Ip,Alone,NA,
841H,S121,841H_S121_L001_R1_001.fastq,841H_S121_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.2 Ip-PA 4.3 Ihed,
910P,S122,910P_S122_L001_R1_001.fastq,910P_S122_L001_R2_001.fastq,PA4.14Ip,Alone,NA,
360P,S123,360P_S123_L001_R1_001.fastq,360P_S123_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.3 Ihed,
777AH,S124,777AH_S124_L001_R1_001.fastq,777AH_S124_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.16 Ip-PA 4.2 Ihed,
769AH,S125,769AH_S125_L001_R1_001.fastq,769AH_S125_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.13 Ip-PA 4.2 Ihed,
591H,S126,591H_S126_L001_R1_001.fastq,591H_S126_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.2 Ip-PA 4.12 Ihed,
826H,S127,826H_S127_L001_R1_001.fastq,826H_S127_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.17 Ip-PA 4.3 Ihed,
311H,S128,311H_S128_L001_R1_001.fastq,311H_S128_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.2 Ip-PA 4.3 Ihed,
897P,S129,897P_S129_L001_R1_001.fastq,897P_S129_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.12 Ihed,
921P,S130,921P_S130_L001_R1_001.fastq,921P_S130_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,
158P,S131,158P_S131_L001_R1_001.fastq,158P_S131_L001_R2_001.fastq,PA4.11Ip,Alone,NA,
389AP,S132,389P_S132_L001_R1_001.fastq,389P_S132_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.15 Ihed,idk if it is 389AP 
356P,S133,356P_S133_L001_R1_001.fastq,356P_S133_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,
337AP,S134,337AP_S134_L001_R1_001.fastq,337AP_S134_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.2 Ihed,
373AP,S135,373AP_S135_L001_R1_001.fastq,373AP_S135_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.2 Ihed,
805P,S136,805P_S136_L001_R1_001.fastq,805P_S136_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.15 Ihed,
345P,S137,345P_S137_L001_R1_001.fastq,345P_S137_L001_R2_001.fastq,PA4.17Ip,Alone,NA,
339AP,S138,339AP_S138_L001_R1_001.fastq,339AP_S138_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.15 Ihed,
812P,S139,812AP_S139_L001_R1_001.fastq,812AP_S139_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.3 Ihed,idk if it is 812P
755P,S140,755P_2_S140_L001_R1_001.fastq,755P_2_S140_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.3 Ihed,Duplicate?
358P,S141,358P_S141_L001_R1_001.fastq,358P_S141_L001_R2_001.fastq,PA4.16Ip,Alone,NA,
311P,S142,311P_S142_L001_R1_001.fastq,311P_S142_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.3 Ihed,
419P,S143,419P_S143_L001_R1_001.fastq,419P_S143_L001_R2_001.fastq,PA4.13Ip,Alone,NA,
557P,S144,557P_S144_L001_R1_001.fastq,557P_S144_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.3 Ihed,
349H,S145,349H_S145_L001_R1_001.fastq,349H_S145_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.19 Ip-PA 4.12 Ihed,
742H,S146,742H_S146_L001_R1_001.fastq,742H_S146_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.19 Ip-PA 4.15 Ihed,
661H,S147,661H_S147_L001_R1_001.fastq,661H_S147_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.2 Ip-PA 4.15 Ihed,
